card_name,total_games_analyzed,total_games_with_card,draw,draw_ai_central,draw_business_contacts_keep,draw_business_network_buy,draw_convoy_from_europa,draw_development_center,draw_draft_buy,draw_invention_contest_keep,draw_inventors_guild_buy,draw_inventrix,draw_lagrange_observatory,draw_large_convoy,draw_mars_university,draw_martian_survey,draw_olympus_conference,draw_placement,draw_placement_23_Ascraeus,draw_placement_58,draw_placement_61,draw_placement_68,draw_placement_82,draw_point_luna,draw_prelude,draw_prelude_biolabs,draw_prelude_io_research_outpost,draw_prelude_research_network,draw_prelude_unmi_contractor,draw_research,draw_restricted_area,draw_reveal_plant_tag,draw_reveal_space_tag,draw_sf_memorial,draw_start,draw_technology_demonstration,business_contacts_draw,business_network_draw,draft_1,draft_2,draft_3,draft_4,draft_unknown,invention_contest_draw,inventors_guild_draw,research_draft_drafted,research_draft_not_drafted,reveal,reveal_microbe,reveal_plant,reveal_space,other,other_activate,other_activation_effect,other_add_animal,other_add_microbe,other_add_science,other_copy_production_box,other_immediate_effect,other_move_resource,other_opponent_play,other_place_card,other_place_city,other_place_gain,other_place_lava_and_ocean,other_remove_animal,other_remove_microbe,other_remove_science,other_scoring,other_starting_hand,other_takeback,other_takeback_buy,other_takeback_draft,other_takeback_start,other_takeback_undo,other_triggered_effect
Acquired Company,16707,6795,0,181,44,36,26,121,1127,18,36,12,15,47,155,12,74,0,34,23,23,23,89,44,0,8,0,12,4,54,129,0,0,11,772,64,107,130,433,521,682,686,0,83,118,1113,1889,0,22,136,57,0,0,0,0,0,0,0,189,0,1,0,0,0,0,0,0,0,0,3,0,19,23,33,0,0
Adaptation Technology,16707,6509,0,205,32,45,31,113,1334,12,31,14,20,41,149,19,75,0,28,30,18,24,83,50,0,10,4,17,10,41,141,0,0,9,214,42,88,115,340,739,1083,747,0,68,102,1423,1656,0,24,111,47,0,0,0,0,0,0,0,528,0,1,0,0,0,0,0,0,0,0,9,0,16,23,8,0,0
Adapted Lichen,16707,6414,0,200,29,18,18,111,887,11,23,11,16,43,163,18,77,0,25,24,34,19,82,51,0,7,3,13,3,48,140,109,0,10,367,45,92,111,212,491,932,926,0,72,103,1142,1751,0,32,0,56,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,6,0,6,19,8,0,0
Advanced Alloys,16707,6099,0,172,88,106,21,110,2148,50,97,11,20,45,132,20,69,0,21,24,26,22,87,37,0,8,4,18,7,38,135,0,0,12,765,51,111,134,1887,569,202,89,0,96,121,2089,832,0,29,121,53,0,0,0,0,0,0,0,729,0,1,0,0,0,0,0,0,0,0,6,0,26,28,33,0,0
Advanced Ecosystems,16707,6972,0,204,95,126,23,108,3592,69,105,15,28,47,160,16,58,0,29,21,18,17,76,43,0,4,0,16,3,37,163,117,0,17,626,35,105,136,1382,1327,750,315,1,92,113,2130,775,0,26,0,67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,28,34,15,0,0
Aerobraked Ammonia Asteroid,16707,6594,0,179,10,10,15,115,348,5,11,11,16,52,155,13,74,0,31,25,19,20,84,41,0,8,4,8,7,36,144,0,60,16,115,36,131,112,80,281,758,1527,0,94,119,837,2087,0,21,105,0,0,0,0,0,0,0,0,301,0,1,0,0,0,0,0,0,0,0,10,0,8,14,9,0,0
AI Central,16707,5893,0,0,87,97,21,103,2715,58,93,13,20,37,146,21,74,0,29,15,19,30,84,57,0,6,1,12,11,37,130,0,0,11,750,53,101,116,2486,581,104,69,1,75,110,2587,382,0,26,113,53,0,21151,0,0,0,0,0,1106,0,1,0,0,0,0,0,0,0,0,5,0,30,27,24,0,0
Algae,16707,7075,1,220,80,129,20,124,3185,47,91,9,24,41,148,18,71,0,23,21,21,26,87,44,0,5,0,12,5,42,148,120,0,9,747,53,106,149,1159,1234,750,365,0,85,110,1909,1004,0,29,0,47,0,0,0,0,0,0,0,1255,0,1,0,0,0,0,0,0,0,0,6,0,40,29,28,0,0
Anti-Gravity Technology,16707,6322,0,188,66,117,21,96,2796,48,86,9,21,36,133,14,53,0,26,29,23,21,82,41,0,5,1,16,2,37,118,0,0,9,727,47,84,134,2322,781,215,138,0,68,97,2535,529,0,18,123,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,35,28,31,0,0
Ants,16707,6770,0,181,31,32,18,105,788,8,18,11,30,40,155,9,77,0,23,24,23,18,71,40,0,14,3,14,8,41,128,0,0,11,92,60,102,146,302,624,1029,1297,0,79,97,1329,1706,0,27,118,50,0,2535,0,0,3887,0,0,0,7,0,0,0,0,0,0,123,0,709,3,0,7,21,4,0,0
