card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Acquired Company,0.9987,0,772,771,1,0.4854,0.8799,0.6756,0.3988,0.1778,381,352,272,122,0.4112,0.2769,0.2169,0.3051,0.1442,0.2272,0.2903
Adaptation Technology,0.8271,0,214,177,37,0.4586,0.7,0.5819,0.4358,0.2584,238,430,472,193,0.3636,0.3913,0.1765,0.3039,0.1104,0.3517,0.3502
Adapted Lichen,0.9564,0,367,351,16,0.3463,0.6368,0.5316,0.3498,0.1771,135,261,326,164,0.3152,0.1622,0.1528,0.2233,0.0733,0.3222,0.1916
Advanced Alloys,0.9817,0,765,751,14,0.7819,0.8431,0.7223,0.4752,0.5393,1591,411,96,48,0.7928,0.791,0.5208,0.8017,0.646,0.0692,0.7961
Advanced Ecosystems,0.607,0,626,380,246,0.9518,0.9609,0.9623,0.94,0.8857,1328,1277,705,279,0.9048,0.9265,0.75,0.9292,0.4757,0.2582,0.9277
Aerobraked Ammonia Asteroid,0.9043,0,115,104,11,0.1315,0.3625,0.3203,0.1557,0.0727,29,90,118,111,0.0763,0.0893,0.0532,0.0924,0.0274,0.2592,0.0909
AI Central,0.928,0,750,696,54,0.838,0.8793,0.79,0.4327,0.3623,2186,459,45,25,0.8614,0.8362,0.7733,0.8455,0.8373,0.035,0.8407
Algae,0.921,0,747,688,59,0.9079,0.9534,0.9254,0.8533,0.8164,1105,1142,640,298,0.7547,0.8658,0.5529,0.8273,0.3979,0.2575,0.8494
Anti-Gravity Technology,0.773,0,727,562,165,0.809,0.8501,0.8015,0.6326,0.4275,1974,626,136,59,0.7857,0.8731,0.7059,0.8866,0.7578,0.0702,0.8788
Ants,0.4783,0,92,44,48,0.2423,0.5298,0.3494,0.2332,0.1311,160,218,240,170,0.3039,0.2192,0.1013,0.1856,0.0995,0.339,0.2058
Aquifer Pumping,0.8678,0,121,105,16,0.108,0.5376,0.3462,0.1416,0.0515,50,63,79,93,0.0505,0.0583,0.037,0.049,0.0312,0.1872,0.0541
Archaebacteria,0.9801,0,654,641,13,0.4191,0.8638,0.8024,0.5974,0.1502,203,337,457,225,0.2255,0.2231,0.1474,0.2389,0.0774,0.252,0.2305
Arctic Algae,0.9975,0,786,784,2,0.6933,0.9798,0.9109,0.4802,0.1344,1359,675,170,116,0.4894,0.5405,0.5915,0.5169,0.4659,0.1189,0.5284
Artificial Lake,0.6774,0,31,21,10,0.3628,0.7219,0.6393,0.3455,0.197,231,319,360,279,0.4066,0.3,0.2198,0.2937,0.1027,0.3344,0.2967
Artificial Photosynthesis,0.8851,0,644,570,74,0.552,0.781,0.6569,0.4613,0.2947,428,584,447,150,0.4381,0.4483,0.3187,0.3187,0.1836,0.3246,0.3913
Asteroid,0.9786,0,700,685,15,0.9277,0.9625,0.9434,0.8604,0.8127,1334,1101,493,204,0.7556,0.8537,0.5789,0.9024,0.4765,0.197,0.878
Asteroid Mining,0.9836,0,611,601,10,0.5081,0.66,0.5476,0.2758,0.1949,693,322,115,54,0.4554,0.4776,0.359,0.4032,0.3561,0.1414,0.4419
