card_name,total_games_analyzed,total_games_with_card,games_with_prelude,seen_count,drawn_count,played_count,win_rate_overall,elo_gain_overall,win_rate_when_seen,elo_gain_when_seen,win_rate_when_drawn,elo_gain_when_drawn,win_rate_when_bought_during_game,elo_gain_when_bought_during_game,win_rate_when_played,elo_gain_when_played,win_count_overall,win_count_when_seen,win_count_when_drawn,win_count_when_bought_during_game,win_count_when_played,avg_elo_overall,avg_elo_when_seen,avg_elo_when_drawn,avg_elo_when_bought_during_game,avg_elo_when_played,play_to_buy_during_game_rate,play_to_buy_overall_rate,play_to_draw_for_free_rate,play_per_option_rate,play_per_card_in_hand_rate,plays_when_bought_during_game,plays_when_bought_overall,plays_when_drawn_for_free,relative_win_rate_when_seen,relative_win_rate_when_drawn,relative_win_rate_when_bought_during_game,relative_win_rate_when_played,relative_elo_gain_when_seen,relative_elo_gain_when_drawn,relative_elo_gain_when_bought_during_game,relative_elo_gain_when_played,bayesian_win_rate_when_bought_during_game,bayesian_elo_gain_when_bought_during_game,original_win_rate_when_bought_during_game,original_elo_gain_when_bought_during_game,game_count_when_bought_during_game,bayesian_win_rate_when_played,bayesian_elo_gain_when_played,original_win_rate_when_played,original_elo_gain_when_played,game_count_when_played
Acquired Company,16707,6795,5610,6580,3194,2523,80.7947,1.5641,80.7599,1.5675,81.9662,1.7714,79.8328,1.4591,81.6695,1.7438,5490,5314,2618,955,2062,585.62,584.6418,584.0207,572.5771,582.3746,0.9466,0.967,0.5045,0.3834,0.7899,1135,1906,617,-3.4,20.72,-25.61,15.96,3.1,23.49,-9.03,22.37,79.8328,1.4591,79.6497,1.4462,1199,81.6695,1.7438,81.7281,1.7602,2523
Adaptation Technology,16707,6509,5309,6327,2842,1847,81.7637,1.7617,81.6975,1.7555,82.0197,1.8332,80.8609,1.7996,81.3805,1.8414,5322,5169,2331,1140,1504,583.6837,583.342,583.1963,577.922,583.8479,0.7887,0.7937,0.4581,0.2919,0.6499,1112,1289,558,15.35,21.79,-1.58,9.98,21.9,29.67,30.04,33.79,80.8609,1.7996,80.8511,1.8369,1409,81.3805,1.8414,81.4293,1.8744,1847
Adapted Lichen,16707,6414,5226,6325,2605,1771,80.6673,1.4959,80.7431,1.5167,82.1497,1.6676,79.5975,1.2547,81.1192,1.4725,5174,5107,2140,736,1437,585.0027,584.773,583.4887,573.1616,577.6539,0.8847,0.905,0.4565,0.28,0.6798,821,1172,598,-3.74,24.39,-32.4,4.21,-1.98,13.11,-34.25,-7.12,79.5975,1.2547,79.3103,1.194,928,81.1192,1.4725,81.1406,1.4653,1770
Advanced Alloys,16707,6099,5001,5896,4344,3988,82.7513,1.942,82.8528,1.9666,84.6455,2.2942,82.9032,2.0448,84.9537,2.3594,5047,4885,3677,1953,3396,584.3801,583.6633,584.157,580.7167,585.0579,0.963,0.9676,0.7923,0.6764,0.918,2264,3015,973,38.45,74.31,42.82,84.51,43.01,75.77,55.15,86.42,82.9032,2.0448,83.071,2.088,2351,84.9537,2.3594,85.1555,2.4007,3987
Advanced Ecosystems,16707,6972,5703,6879,5868,3587,82.7883,1.7367,82.7446,1.7234,83.623,1.741,83.8146,1.6901,81.3272,1.389,5772,5692,4907,3210,2918,585.7045,585.5258,588.9768,586.8844,585.7117,0.6139,0.6129,0.6061,0.5214,0.6113,2347,2727,860,36.29,53.86,60.71,8.38,18.69,20.45,16.16,-15.57,83.8146,1.6901,83.9655,1.6981,3822,81.3272,1.389,81.3493,1.3808,3587
Aerobraked Ammonia Asteroid,16707,6594,5439,6468,1668,538,80.1031,1.4324,80.0866,1.432,81.7146,1.6049,79.0634,1.3294,79.9269,1.3825,5282,5180,1363,288,428,586.99,586.6016,586.9149,575.1707,580.0651,0.6911,0.7417,0.1512,0.0832,0.3225,255,359,179,-16.87,15.69,-57.63,-27.52,-10.45,6.84,-31.97,-21.12,79.0634,1.3294,78.0488,1.2168,368,79.9269,1.3825,79.5539,1.3253,538
AI Central,16707,5893,4820,5701,4730,4123,85.101,2.3677,85.2307,2.4091,85.8985,2.4738,84.7669,2.2818,86.0712,2.4965,5015,4859,4063,2471,3559,583.7436,583.0368,584.9789,581.8138,584.6287,0.8916,0.8991,0.7777,0.7232,0.8717,2591,3287,836,86.01,99.37,82.02,107.81,87.26,93.73,79.66,100.66,84.7669,2.2818,85.031,2.3331,2905,86.0712,2.4965,86.3206,2.5431,4123
Algae,16707,7075,5794,6999,5571,4919,82.417,1.7334,82.3975,1.7328,83.0731,1.7636,82.243,1.5767,82.8064,1.6734,5831,5767,4628,2803,4077,584.1884,584.0296,584.3987,581.2446,584.5029,0.9004,0.9041,0.821,0.7028,0.883,3066,3754,1165,29.35,42.86,27.8,39.05,19.63,22.71,4.26,14.25,82.243,1.5767,82.3201,1.5791,3405,82.8064,1.6734,82.8827,1.679,4918
Anti-Gravity Technology,16707,6322,5164,6122,4868,3946,83.5179,1.9258,83.6328,1.9494,85.1684,2.166,84.5533,2.0708,86.6585,2.4647,5280,5120,4146,2543,3431,583.9745,582.7239,584.6419,580.2908,581.0953,0.8196,0.8105,0.8109,0.6446,0.8106,2458,3020,926,54.05,84.77,77.3,120.37,41.29,62.95,56.99,97.52,84.5533,2.0708,84.7949,2.1064,2999,86.6585,2.4647,86.9488,2.5117,3946
Ants,16707,6770,5519,6575,2073,931,80.6795,1.4222,80.8061,1.4438,81.4279,1.5335,80.1409,1.2306,82.3923,1.75,5462,5313,1688,670,770,585.5201,584.844,575.6025,570.8329,569.536,0.6337,0.6183,0.3115,0.1416,0.4491,531,575,356,-2.48,9.96,-19.56,35.53,-9.27,-0.3,-37.9,25.94,80.1409,1.2306,79.9523,1.1575,837,82.3923,1.75,82.7068,1.7959,930
